text,source,page
"Neural Networks Chapter 8 3. Let’s take it a step ahead by considering a cube of side 100 yards each and you have dropped a coin somewhere in between. Now, it is even more difficult to find the coin this time. This cube is a 3 dimensional entity. Hence, you can observe the complexity is increasing as the dimensions are increasing. And in real-life, the high dimensional data that we were talking about has thousands of dimensions that make it very complex to handle and process. The high dimensional data can easily be found in use-cases like Image processing, NLP, Image Translation etc. Machine learning was not capable of solving these use-cases and hence, Deep learning came to the rescue. Deep learning is capable of handling the high dimensional data and is also efficient in focusing on the",Artificial-Intelligence-1 (1).pdf,12
"and hence, Deep learning came to the rescue. Deep learning is capable of handling the high dimensional data and is also efficient in focusing on the right features on its own. This process is called feature extraction. How Deep Learning Works? In an attempt to re-engineer a human brain, Deep Learning studies the basic unit of a brain called a brain cell or a neuron. Inspired from a neuron an artificial neuron or a perceptron was developed. Now, let us understand the functionality of biological neurons and how we mimic this functionality in the perceptron or an artificial neuron. Biological Neuron A nerve cell (neuron) is a special biological cell that processes information. According to estimation, there are huge numbers of neurons, approximately 1011 with numerous interconnections, appro",Artificial-Intelligence-1 (1).pdf,12
"cell that processes information. According to estimation, there are huge numbers of neurons, approximately 1011 with numerous interconnections, approximately 1015. Schematic Diagram Working of a Biological Neuron As shown in the above diagram, a typical neuron consists of the following four parts with the help of which we can explain its working − Mamatha M, SSCASC,Tumkur Page 3",Artificial-Intelligence-1 (1).pdf,12
"Neural Networks Chapter 8  Dendrites − They are tree-like branches, responsible for receiving the information from other neurons it is connected to. In other sense, we can say that they are like the ears of neuron.  Soma − It is the cell body of the neuron and is responsible for processing of information, they have received from dendrites.  Axon − It is just like a cable through which neurons send the information as output, connected to dendrites of other neurons via synapses.  Synapses − It is the connection between the axon and other neuron dendrites. It transfers the information between neurons (electrical-chemical-electrical). The brain is principally composed of about 10 billion neurons, each connected to about 10,000 other neurons. Each of the neuronal cell bodies (soma), and the",Artificial-Intelligence-1 (1).pdf,13
"in is principally composed of about 10 billion neurons, each connected to about 10,000 other neurons. Each of the neuronal cell bodies (soma), and the lines are the input and output channels (dendrites and axons) which connect them. Each neuron receives electrochemical inputs from other neurons at the dendrites. If the sum of these electrical inputs is sufficiently powerful to activate the neuron, it transmits an electrochemical signal along the axon, and passes this signal to the other neurons whose dendrites are attached at any of the axon terminals. These attached neurons may then fire. It is important to note that a neuron fires only if the total signal received at the cell body exceeds a certain level. The neuron either fires or it doesn't, there aren't different grades of firing. So,",Artificial-Intelligence-1 (1).pdf,13
"he total signal received at the cell body exceeds a certain level. The neuron either fires or it doesn't, there aren't different grades of firing. So, our entire brain is composed of these interconnected electro-chemical transmitting neurons. From a very large number of extremely simple processing units (each performing a weighted sum of its inputs, and then firing a binary signal if the total input exceeds a certain level) the brain manages to perform extremely complex tasks. Artificial Neural Network (ANN) Artificial Neural Network (ANN) is an efficient computing system whose central theme is borrowed from the analogy of biological neural networks. ANNs are also named as “artificial neural systems,” or “parallel distributed processing systems,” or “connectionist systems.” ANN acquires a",Artificial-Intelligence-1 (1).pdf,13
"etworks. ANNs are also named as “artificial neural systems,” or “parallel distributed processing systems,” or “connectionist systems.” ANN acquires a large collection of units that are interconnected in some pattern to allow communication between the units. These units, also referred to as nodes or neurons, are simple processors which operate in parallel. Basic Structure of ANNs The idea of ANNs is based on the belief that working of human brain by making the right connections can be imitated using silicon and wires as living neurons and dendrites. The human brain is composed of 86 billion nerve cells called neurons. They are connected to other thousand cells by Axons. Stimuli from external environment or inputs from sensory organs are accepted by dendrites. These inputs create electric im",Artificial-Intelligence-1 (1).pdf,13
"er thousand cells by Axons. Stimuli from external environment or inputs from sensory organs are accepted by dendrites. These inputs create electric impulses, which quickly travel through the neural network. A neuron can then send the message to other neuron to handle the issue or does not send it forward. Mamatha M, SSCASC,Tumkur Page 4",Artificial-Intelligence-1 (1).pdf,13
"Neural Networks Chapter 8 ANNs are composed of multiple nodes, which imitate biological neurons of human brain. Every neuron is connected with other neuron through a connection link and they interact with each other. Each connection link is associated with a weight that has information about the input signal. This is the most useful information for neurons to solve a particular problem because the weight usually excites (stimulates) or inhibits (prevents) the signal that is being communicated. Each neuron has an internal state, which is called an activation signal. The nodes can take input data and perform simple operations on the data. Output signals called activation or node value, which are produced after combining the input signals and activation rule, may be sent to other neurons. The",Artificial-Intelligence-1 (1).pdf,14
"t signals called activation or node value, which are produced after combining the input signals and activation rule, may be sent to other neurons. The following illustration shows a simple ANN − Model of Artificial Neural Network The following diagram represents the general model of ANN followed by its processing. Mamatha M, SSCASC,Tumkur Page 5",Artificial-Intelligence-1 (1).pdf,14
"Neural Networks Chapter 8 The artificial neuron given in this figure has N input, denoted as X1, X2, ...Xm. Each line connecting these inputs to the neuron is assigned a weight, which are denoted as W1, W2, .., Wm respectively. Weights in the artificial model correspond to the synaptic connections in biological neurons. The inputs (x) received from the input layer are multiplied with their assigned weights w. The multiplied values are then added to form the Weighted Sum. The weighted sum of the inputs and their respective weights are then applied to a relevant Activation Function. The activation function maps the input to the respective output. For the above general model of artificial neural network, the net input can be calculated as follows − The output can be calculated by applying the",Artificial-Intelligence-1 (1).pdf,15
"t. For the above general model of artificial neural network, the net input can be calculated as follows − The output can be calculated by applying the activation function over the net input. Output = function (net input calculated)  If we focus on the structure of a biological neuron, it has dendrite which is used to receive inputs. These inputs are summed in the cell body and using the Axon it is passed on to the next biological neuron as shown in the above image.  Similarly, a perceptron receives multiple inputs, applies various transformations and functions and provides an output.  As we know that our brain consists of multiple connected neurons called neural network, we can also have a network of artificial neurons called perceptrons to form a Deep neural network. Mamatha M, SSCASC,",Artificial-Intelligence-1 (1).pdf,15
"d neurons called neural network, we can also have a network of artificial neurons called perceptrons to form a Deep neural network. Mamatha M, SSCASC,Tumkur Page 6",Artificial-Intelligence-1 (1).pdf,15
"Neural Networks Chapter 8 So, let’s move ahead in this Deep Learning Tutorial to understand how a Deep neural network looks like. What is Deep Learning? Any Deep neural network will consist of three types of layers:  The Input Layer  The Hidden Layer  The Output Layer  Input Nodes – The Input nodes provide information from the outside world to the network and are together referred to as the “Input Layer”. No computation is performed in any of the Input nodes – they just pass on the information to the hidden nodes.  Hidden Nodes – The Hidden nodes have no direct connection with the outside world (hence the name “hidden”). They perform computations and transfer information from the input nodes to the output nodes. A collection of hidden nodes forms a “Hidden Layer”. While a network will",Artificial-Intelligence-1 (1).pdf,16
"putations and transfer information from the input nodes to the output nodes. A collection of hidden nodes forms a “Hidden Layer”. While a network will only have a single input layer and a single output layer, it can have zero or multiple Hidden Layers. A Multi-Layer Perceptron has one or more hidden layers.  Output Nodes – The Output nodes are collectively referred to as the “Output Layer” and are responsible for computations and transferring information from the network to the outside world. We want to perform Image recognition using Deep Networks: Example: Consider a scenario where you are to build an Artificial Neural Network (ANN) that classifies images into two classes:  Class A: Containing images of non-diseased leaves  Class B: Containing images of diseased leaves So how do you c",Artificial-Intelligence-1 (1).pdf,16
"lassifies images into two classes:  Class A: Containing images of non-diseased leaves  Class B: Containing images of diseased leaves So how do you create a Neural network that classifies the leaves into diseased and non-diseased crops? The process always begins with processing and transforming the input in such a way that it can be easily processed. In our case, each leaf image will be broken down into pixels depending on the dimension of the image. Mamatha M, SSCASC,Tumkur Page 7",Artificial-Intelligence-1 (1).pdf,16
"Neural Networks Chapter 8 For example, if the image is composed of 30 by 30 pixels, then the total number of pixels will be 900. These pixels are represented as matrices, which are then fed into the input layer of the Neural Network. Just like how our brains have neurons that help in building and connecting thoughts, an ANN has perceptrons that accept inputs and process them by passing them on from the input layer to the hidden and finally the output layer. As the input is passed from the input layer to the hidden layer, an initial random weight is assigned to each input. The inputs are then multiplied with their corresponding weights and their sum is sent as input to the next hidden layer. Here, a numerical value called bias is assigned to each perceptron, which is associated with the wei",Artificial-Intelligence-1 (1).pdf,17
"ir sum is sent as input to the next hidden layer. Here, a numerical value called bias is assigned to each perceptron, which is associated with the weightage of each input. Further, each perceptron is passed through activation or a transformation function that determines whether a particular perceptron gets activated or not. An activated perceptron is used to transmit data to the next layer. In this manner, the data is propagated (Forward propagation) through the neural network until the perceptrons reach the output layer. At the output layer, a probability is derived which decides whether the data belongs to class A or class B. ANN versus BNN Before taking a look at the differences between Artificial Neural Network (ANN) and Biological Neural Network (BNN), let us take a look at the simila",Artificial-Intelligence-1 (1).pdf,17
"Before taking a look at the differences between Artificial Neural Network (ANN) and Biological Neural Network (BNN), let us take a look at the similarities based on the terminology between these two. Biological Neural Network (BNN) Artificial Neural Network (ANN) Mamatha M, SSCASC,Tumkur Page 8",Artificial-Intelligence-1 (1).pdf,17
"Neural Networks Chapter 8 Soma Node Dendrites Input Synapse Weights or Interconnections Axon Output Processing of ANN depends upon the following three building blocks −  Network Topology  Adjustments of Weights or Learning Network Topology A network topology is the arrangement of a network along with its nodes and connecting lines. According to the topology, ANN can be classified as the following kinds − Feedforward Network It is a non-recurrent network having processing units/nodes in layers and all the nodes in a layer are connected with the nodes of the previous layers. The connection has different weights upon them. There is no feedback loop means the signal can only flow in one direction, from input to output. They are used in pattern generation/recognition/classification. They hav",Artificial-Intelligence-1 (1).pdf,18
"k loop means the signal can only flow in one direction, from input to output. They are used in pattern generation/recognition/classification. They have fixed inputs and outputs. It may be divided into the following two types –  Single layer feedforward network − The concept is of feedforward ANN having only one weighted layer. In other words, we can say the input layer is fully connected to the output layer.  Multilayer feedforward network − The concept is of feedforward ANN having more than one weighted layer. As this network has one or more layers between the input and the output layer, it is called hidden layers. Mamatha M, SSCASC,Tumkur Page 9",Artificial-Intelligence-1 (1).pdf,18
Page 9,Artificial-Intelligence-1 (1).pdf,18
"Neural Networks Chapter 8 Feedback Network As the name suggests, a feedback network has feedback paths, which means the signal can flow in both directions using loops. This makes it a non-linear dynamic system, which changes continuously until it reaches a state of equilibrium. It may be divided into the following types −  Recurrent networks − They are feedback networks with closed loops. Following are the two types of recurrent networks.  Fully recurrent network − It is the simplest neural network architecture because all nodes are connected to all other nodes and each node works as both input and output.  Jordan network − It is a closed loop network in which the output will go to the input again as feedback as shown in the following diagram. Adjustments of Weights or Learning Techniq",Artificial-Intelligence-1 (1).pdf,19
"loop network in which the output will go to the input again as feedback as shown in the following diagram. Adjustments of Weights or Learning Techniques Learning, in artificial neural network, is the method of modifying the weights of connections between the neurons of a specified network. Learning in ANN can be classified into three categories namely supervised learning, unsupervised learning, and reinforcement learning. Mamatha M, SSCASC,Tumkur Page 10",Artificial-Intelligence-1 (1).pdf,19
"Neural Networks Chapter 8  Supervised Learning As the name suggests, this type of learning is done under the supervision of a teacher. This learning process is dependent. During the training of ANN under supervised learning, the input vector is presented to the network, which will give an output vector. This output vector is compared with the desired output vector. An error signal is generated, if there is a difference between the actual output and the desired output vector. On the basis of this error signal, the weights are adjusted until the actual output is matched with the desired output.  Unsupervised Learning As the name suggests, this type of learning is done without the supervision of a teacher. This learning process is independent. During the training of ANN under unsupervised l",Artificial-Intelligence-1 (1).pdf,20
"s type of learning is done without the supervision of a teacher. This learning process is independent. During the training of ANN under unsupervised learning, the input vectors of similar type are combined to form clusters. When a new input pattern is applied, then the neural network gives an output response indicating the class to which the input pattern belongs. There is no feedback from the environment as to what should be the desired output and if it is correct or incorrect. Hence, in this type of learning, the network itself must discover the patterns and features from the input data, and the relation for the input data over the output.  Reinforcement Learning As the name suggests, this type of learning is used to reinforce or strengthen the network over some critic information. This",Artificial-Intelligence-1 (1).pdf,20
" Reinforcement Learning As the name suggests, this type of learning is used to reinforce or strengthen the network over some critic information. This learning process is similar to supervised learning; however we might have very less information. During the training of network under reinforcement learning, the network receives some feedback from the environment. This makes it somewhat similar to supervised learning. However, the feedback obtained here is evaluative not instructive, which means there is no teacher as in supervised learning. After receiving the feedback, the network performs adjustments of the weights to get better critic information in future. Mamatha M, SSCASC,Tumkur Page 11",Artificial-Intelligence-1 (1).pdf,20
"rmation in future. Mamatha M, SSCASC,Tumkur Page 11",Artificial-Intelligence-1 (1).pdf,20
"Neural Networks Chapter 8 Naïve Bayes Classifier What is a classifier? A classifier is a machine learning model that is used to discriminate different objects based on certain features. Principle of Naive Bayes Classifier: A Naive Bayes classifier is a probabilistic machine learning model that’s used for classification task. This classifier assigns class labels to the samples from the available set of labels. This method assumes each feature’s value as independent and will not consider any correlation or relationship between the features. Bayes Theorem: Using Bayes theorem, we can find the probability of A happening, given that B has occurred. Here, B is the evidence and A is the hypothesis. The assumption made here is that the predictors/features are independent. That is presence of one p",Artificial-Intelligence-1 (1).pdf,21
". Here, B is the evidence and A is the hypothesis. The assumption made here is that the predictors/features are independent. That is presence of one particular feature does not affect the other. Hence it is called naive. A and B are Boolean variables that represent the occurrence of an event. If an event is certain to occur then the probability is 1. i.e, P(True)=1. If an event is certain to not occur then the probability is 0. i.e, P(False)=0. If the probability of the event is uncertain then the probability is between 0 and 1. For example Suppose you are one of the 1/10 people that have a headache (H). i.e, P (H) =1/10. Suppose 1/40 of people have the flu (F) i.e, P (F) =1/40 Given the fact that you have a headache what are the chances that you have the flu? P (F/H) =? Mamatha M, SSCASC,",Artificial-Intelligence-1 (1).pdf,21
"le have the flu (F) i.e, P (F) =1/40 Given the fact that you have a headache what are the chances that you have the flu? P (F/H) =? Mamatha M, SSCASC,Tumkur Page 12",Artificial-Intelligence-1 (1).pdf,21
Neural Networks Chapter 8 P(F|H) = Posterior probability of Flu given Headache P(H|F) =conditional probability of x given Flu (often called likelihood of headache given Flu. P(F) = prior probability of hypothesis Flu P(H) = prior probability that example is observed. Conditional probability and the chain rule. Probability that A and B occur. What is the probability that a person has a head ache and the Flu? A problem with Naïve Bayes Classification  The assumption that all class attributes are independent results in a loss of accuracy.  Recall the example about headache and flu shown before. Clearly there is a dependency between attributes which a naïve classifier would not be able to model. The solution for this problem is Bayesian Belief Networks Bayesian networks A Bayesian network is,Artificial-Intelligence-1 (1).pdf,22
"which a naïve classifier would not be able to model. The solution for this problem is Bayesian Belief Networks Bayesian networks A Bayesian network is a data structure used to represent knowledge in an uncertain domain (i.e) to represent the dependence between variables and to give a whole specification of the joint probability distribution. A Bayesian network is a probabilistic graphical model that represents a set of variables and their conditional dependencies via a directed acyclic graph (DAG). A belief network is a graph in which the following holds. Mamatha M, SSCASC,Tumkur Page 13",Artificial-Intelligence-1 (1).pdf,22
"Neural Networks Chapter 8 I. A set of random variables makes up the nodes of the network. II. A set of directed links or arrows connects pairs of nodes x y,x has a direct influence → on y. III. Each node has a conditional probability tale that quantifies the effects that the parents have on the node. The parents of a node are all nodes that have arrows pointing to it. IV. Graph has no directed cycles(DAG) The other names of Belief network are Bayesian network ,probabilistic network, casual network and knowledge map. Bayesian networks are ideal for taking an event that occurred and predicting the likelihood that any one of several possible known causes was the contributing factor. For example, a Bayesian network could represent the probabilistic relationships between diseases and symptoms.",Artificial-Intelligence-1 (1).pdf,23
"wn causes was the contributing factor. For example, a Bayesian network could represent the probabilistic relationships between diseases and symptoms. Disease and symptoms are connected using a network diagram. All symptoms connected to a disease are used to calculate the probability of the existence of the disease. Example 1: A new burglar alarm has been installed at home.  It is fairly reliable at detecting a burglary but also responds on occasion to minor earthquakes.  You also have two neighbors, John and Mary, who have promised to call you at work when they hear the alarm.  John always calls when he hears the alarm but sometimes confuses the telephone ringing with the alarm and calls then too.  Mary on the other hand likes rather loud music and sometimes misses the alarm together.",Artificial-Intelligence-1 (1).pdf,23
"es the telephone ringing with the alarm and calls then too.  Mary on the other hand likes rather loud music and sometimes misses the alarm together.  Given the evidence of who has or has not called estimate the probability of a burglary Mamatha M, SSCASC,Tumkur Page 14",Artificial-Intelligence-1 (1).pdf,23
